"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1852","test_all_categories","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","2372","test_get_users_sorted_asc","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","3858","test_add_product[data2]","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product_DDT","",""
"","2322","test_delete_user","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","2079","test_delete_product","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","2126","test_get_users_sorted_desc","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","3940","test_add_product[data4]","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product_DDT","",""
"","2087","test_get_limited_products","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","2120","test_update_product","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","2064","test_get_user_by_id","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","4297","test_add_product[data1]","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product_DDT","",""
"","2027","test_get_sorted_products_asc","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","2283","test_get_single_product_by_id","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","1997","test_get_users_with_limit","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","2545","test_update_user","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","2221","test_get_sorted_products_desc","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","2199","test_create_user","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","2388","test_get_all_users","","2026-06-07","passed","2026-06-07","TestUserAPI","test_user_tests","",""
"","4099","test_add_product[data0]","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product_DDT","",""
"","1849","test_get_all_products","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","2332","test_add_product","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
"","4156","test_add_product[data3]","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product_DDT","",""
"","2158","test_get_product_by_category","","2026-06-07","passed","2026-06-07","TestProductAPI","test_product","",""
