"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4561","test_add_product[data2]","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product_DDT","",""
"","1853","test_update_product","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","1864","test_update_user","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","3942","test_add_product[data0]","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product_DDT","",""
"","1760","test_get_single_product_by_id","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","1706","test_get_sorted_products_asc","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","1848","test_get_limited_products","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","2011","test_create_user","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","3699","test_add_product[data1]","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product_DDT","",""
"","2019","test_get_user_by_id","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","2817","test_delete_product","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","1979","test_get_all_users","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","2155","test_get_users_sorted_asc","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","1823","test_add_product","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","1752","test_get_all_products","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","2034","test_get_users_with_limit","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","1796","test_get_sorted_products_desc","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","1893","test_get_product_by_category","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","1973","test_get_users_sorted_desc","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","1950","test_delete_user","","2026-04-26","passed","2026-04-26","TestProductAPI","test_user_tests","",""
"","1852","test_all_categories","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product","",""
"","3723","test_add_product[data4]","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product_DDT","",""
"","3785","test_add_product[data3]","","2026-04-26","passed","2026-04-26","TestProductAPI","test_product_DDT","",""
